author,year,journal,title,url,search_term,site
Marie Barking; Ad Backus; Maria Mos,2022,Cognitive Linguistics,Individual corpus data predict variation in judgments: testing the usage-based nature of mental representations in a language transfer setting,https://doi.org/10.1515/cog-2021-0105,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating ; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,De Gruyter (1993-2023)
Rakesh Mohan Bhatt,1997,Lingua,"Code-switching, constraints, and optimal grammars",https://doi.org/10.1016/S0024-3841(97)00007-7,acceptability judgement; acceptability judgment; grammaticality judgement; grammaticality judgment; linguistic intuition judgement; linguistic intuition judgment; meta-linguistic judgement; meta-linguistic judgment; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Sam Featherston,2005,Lingua,That-trace in German,https://doi.org/10.1016/j.lingua.2004.04.001,grammaticality judgement; grammaticality judgment; magnitude estimation; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Thomas Wasow; Jennifer Arnold,2005,Lingua,Intuitions in linguistic argumentation,https://doi.org/10.1016/j.lingua.2004.07.001,acceptability judgement; acceptability judgment; grammaticality judgement; grammaticality judgment; intuitive judgement; intuitive judgment; linguistic intuition judgement; linguistic intuition judgment; naturalness judgement; naturalness judgment; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Sam Featherston,2005,Lingua,Magnitude estimation and what it can do for your syntax: some wh-constraints in German,https://doi.org/10.1016/j.lingua.2004.07.003,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; intuitive judgement; intuitive judgment; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; magnitude estimation; naturalness judgement; naturalness judgment; naturalness rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Paweł Rutkowski; Hanna Maliszewska,2007,Lingua,On Prepositional Phrases inside numeral expressions in Polish,https://doi.org/10.1016/j.lingua.2006.03.004,acceptability judgement; acceptability judgment; grammaticality judgement; grammaticality judgment; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Kalliopi Katsika,2009,Lingua,Exploring the minimal structure in prepositional phrase attachment ambiguities: Evidence from Greek,https://doi.org/10.1016/j.lingua.2008.04.006,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Stavros Skopeteas; Caroline Féry; Rusudan Asatiani,2009,Lingua,Word order and intonation in Georgian,https://doi.org/10.1016/j.lingua.2008.09.001,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; naturalness judgement; naturalness judgment; naturalness rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Ji-Hye Kim; James H. Yoon,2009,Lingua,Long-distance bound local anaphors in Korean—An empirical study of the Korean anaphor caki-casin,https://doi.org/10.1016/j.lingua.2008.10.002,Likert scale; acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Andreas Konietzko; Susanne Winkler,2010,Lingua,Contrastive ellipsis: Mapping between syntax and information structure,https://doi.org/10.1016/j.lingua.2008.08.009,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; magnitude estimation; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Petra B. Schumacher; Maria M. Piñango; Sergey Avrutin,2010,Lingua,Reference assignment in Dutch: Evidence for the syntax–discourse divide,https://doi.org/10.1016/j.lingua.2009.12.003,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Nuria Sagarra; Julia Herschensohn,2010,Lingua,The role of proficiency and working memory in gender and number agreement processing in L1 and L2 Spanish,https://doi.org/10.1016/j.lingua.2010.02.004,Likert scale; acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Hanjung Lee,2011,Lingua,Gradients in Korean case ellipsis: An experimental investigation,https://doi.org/10.1016/j.lingua.2010.07.002,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; naturalness judgement; naturalness judgment; naturalness rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Ming Xiang; Boris Harizanov; Ekaterina Kravtchenko,2011,Lingua,Processing morphological ambiguity: An experimental investigation of Russian numerical phrases,https://doi.org/10.1016/j.lingua.2010.10.016,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Kay González-Vilbazo; Luis López,2011,Lingua,Some properties of light verbs in code-switching,https://doi.org/10.1016/j.lingua.2010.11.011,Likert scale; acceptability judgement; acceptability judgment; grammaticality judgement; grammaticality judgment; linguistic intuition judgement; linguistic intuition judgment; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Suwon Yoon,2011,Lingua,A structural asymmetry in intervention effects,https://doi.org/10.1016/j.lingua.2010.12.006,acceptability judgement; acceptability judgment; grammaticality judgement; grammaticality judgment; linguistic intuition judgement; linguistic intuition judgment; magnitude estimation; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
Tania Ionin; Silvina Montrul; Hélade Santos,2011,Lingua,"An experimental investigation of the expression of genericity in English, Spanish and Brazilian Portuguese",https://doi.org/10.1016/j.lingua.2010.12.008,acceptability judgement; acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; linguistic intuition judgement; linguistic intuition judgment; linguistic intuition rating; naïve rating; sentence judgement; sentence judgment; syntactic judgement ; syntactic judgment,KB+JISC Collections Elsevier (1995-2023)
